iter	Passed	Remaining
0	69	20784
1	80	11980
2	87	8641
3	94	6988
4	101	5994
5	108	5306
6	115	4819
7	122	4458
8	128	4168
9	135	3930
10	142	3747
11	149	3578
12	155	3438
13	162	3326
14	169	3218
15	175	3120
16	182	3031
17	188	2959
18	195	2892
19	203	2842
20	213	2842
21	223	2823
22	230	2772
23	237	2728
24	244	2685
25	250	2643
26	257	2607
27	264	2572
28	271	2536
29	278	2507
30	285	2477
31	291	2444
32	299	2419
33	305	2393
34	312	2366
35	318	2339
36	325	2315
37	332	2291
38	338	2268
39	346	2253
40	354	2236
41	361	2218
42	368	2200
43	374	2178
44	381	2161
45	388	2144
46	395	2127
47	402	2112
48	409	2095
49	416	2080
50	422	2064
51	429	2050
52	437	2039
53	445	2027
54	456	2035
55	467	2035
56	474	2021
57	481	2008
58	488	1996
59	495	1982
60	502	1967
61	509	1955
62	516	1943
63	523	1931
64	531	1920
65	541	1919
66	552	1921
67	561	1916
68	571	1912
69	581	1909
70	590	1905
71	601	1903
72	611	1900
73	622	1900
74	633	1899
75	643	1897
76	653	1892
77	663	1889
78	674	1888
79	684	1883
80	700	1894
81	719	1914
82	734	1919
83	746	1920
84	758	1918
85	769	1915
86	780	1910
87	790	1904
88	801	1899
89	811	1894
90	821	1887
91	831	1878
92	841	1871
93	850	1864
94	862	1861
95	871	1852
96	880	1842
97	888	1831
98	897	1821
99	904	1808
100	911	1796
101	920	1785
102	927	1774
103	935	1763
104	945	1756
105	955	1748
106	963	1738
107	971	1727
108	979	1715
109	985	1702
110	993	1691
111	1000	1679
112	1007	1667
113	1014	1655
114	1022	1644
115	1028	1632
116	1036	1620
117	1043	1609
118	1052	1600
119	1060	1591
120	1068	1580
121	1075	1569
122	1083	1559
123	1090	1547
124	1097	1535
125	1103	1524
126	1111	1513
127	1118	1502
128	1127	1494
129	1133	1482
130	1141	1472
131	1148	1461
132	1154	1450
133	1162	1439
134	1169	1428
135	1177	1419
136	1184	1408
137	1198	1406
138	1207	1398
139	1213	1387
140	1221	1377
141	1229	1368
142	1235	1356
143	1243	1347
144	1250	1336
145	1257	1326
146	1264	1315
147	1270	1305
148	1278	1295
149	1285	1285
150	1293	1275
151	1300	1266
152	1307	1256
153	1315	1246
154	1322	1237
155	1331	1228
156	1337	1218
157	1344	1208
158	1351	1198
159	1358	1188
160	1365	1179
161	1373	1169
162	1381	1161
163	1388	1151
164	1395	1141
165	1402	1131
166	1409	1122
167	1417	1113
168	1424	1103
169	1431	1094
170	1440	1086
171	1453	1081
172	1463	1074
173	1472	1065
174	1479	1056
175	1487	1047
176	1496	1039
177	1505	1032
178	1513	1022
179	1520	1013
180	1528	1004
181	1535	995
182	1543	987
183	1551	978
184	1559	969
185	1566	960
186	1574	951
187	1582	942
188	1588	933
189	1596	924
190	1604	915
191	1612	907
192	1620	898
193	1628	889
194	1637	881
195	1645	872
196	1653	864
197	1660	855
198	1668	846
199	1675	837
200	1684	829
201	1698	824
202	1711	817
203	1719	809
204	1726	800
205	1735	792
206	1746	784
207	1754	775
208	1762	767
209	1771	759
210	1781	751
211	1790	743
212	1797	734
213	1806	725
214	1814	717
215	1821	708
216	1830	700
217	1840	692
218	1849	684
219	1860	676
220	1870	668
221	1880	660
222	1889	652
223	1898	644
224	1907	635
225	1917	627
226	1932	621
227	1946	614
228	1965	609
229	1976	601
230	1985	593
231	1994	584
232	2005	576
233	2013	568
234	2021	559
235	2036	552
236	2046	544
237	2054	535
238	2064	526
239	2074	518
240	2083	510
241	2092	501
242	2100	492
243	2109	484
244	2118	475
245	2130	467
246	2141	459
247	2150	450
248	2160	442
249	2170	434
250	2187	427
251	2201	419
252	2210	410
253	2219	401
254	2227	393
255	2236	384
256	2246	375
257	2254	367
258	2262	358
259	2271	349
260	2279	340
261	2296	333
262	2305	324
263	2315	315
264	2324	306
265	2333	298
266	2344	289
267	2355	281
268	2366	272
269	2381	264
270	2390	255
271	2398	246
272	2407	238
273	2414	229
274	2421	220
275	2429	211
276	2442	202
277	2450	193
278	2461	185
279	2468	176
280	2476	167
281	2488	158
282	2497	150
283	2505	141
284	2513	132
285	2521	123
286	2529	114
287	2536	105
288	2544	96
289	2553	88
290	2561	79
291	2570	70
292	2580	61
293	2589	52
294	2598	44
295	2607	35
296	2617	26
297	2627	17
298	2636	8
299	2645	0
