2026-07-04 02:19:34,893 | WARNING | features.sentiment | No news table found. Run fetch_news() first.
2026-07-04 02:53:50,115 | INFO | __main__ | ═══ Equity Research Platform Starting ═══
2026-07-04 02:53:50,115 | INFO | __main__ | Step 1: Initialising database...
2026-07-04 02:53:50,124 | INFO | data.storage | DB initialised at /Users/Lenovo/Desktop/PLACEMENT_PREP/finance_proj/equity_research/data/equity_research.db
2026-07-04 02:53:50,124 | INFO | __main__ | Step 2: Fetching prices (100 stocks)...
2026-07-04 02:53:52,686 | ERROR | data.fetcher | Price fetch failed AAPL: 'tuple' object has no attribute 'lower'
2026-07-04 02:53:53,847 | ERROR | data.fetcher | Price fetch failed MSFT: 'tuple' object has no attribute 'lower'
2026-07-04 02:53:55,578 | ERROR | data.fetcher | Price fetch failed GOOGL: 'tuple' object has no attribute 'lower'
2026-07-04 02:53:57,033 | ERROR | data.fetcher | Price fetch failed AMZN: 'tuple' object has no attribute 'lower'
2026-07-04 02:53:58,479 | ERROR | data.fetcher | Price fetch failed META: 'tuple' object has no attribute 'lower'
2026-07-04 02:53:59,828 | ERROR | data.fetcher | Price fetch failed TSLA: 'tuple' object has no attribute 'lower'
2026-07-04 02:55:16,807 | INFO | __main__ | ═══ Equity Research Platform Starting ═══
2026-07-04 02:55:16,808 | INFO | __main__ | Step 1: Initialising database...
2026-07-04 02:55:16,813 | INFO | data.storage | DB initialised at /Users/Lenovo/Desktop/PLACEMENT_PREP/finance_proj/equity_research/data/equity_research.db
2026-07-04 02:55:16,813 | INFO | __main__ | Step 2: Fetching prices (100 stocks)...
2026-07-04 02:55:19,291 | ERROR | data.fetcher | Price fetch failed AAPL (attempt 1): empty dataframe
2026-07-04 02:55:29,463 | ERROR | data.fetcher | Price fetch failed AAPL (attempt 2): empty dataframe
2026-07-04 02:57:16,695 | INFO | __main__ | ═══ Equity Research Platform Starting ═══
2026-07-04 02:57:16,695 | INFO | __main__ | Step 1: Initialising database...
2026-07-04 02:57:16,696 | INFO | data.storage | DB initialised at /Users/Lenovo/Desktop/PLACEMENT_PREP/finance_proj/equity_research/data/equity_research.db
2026-07-04 02:57:16,696 | INFO | __main__ | Step 2: Fetching prices (100 stocks)...
2026-07-04 02:57:16,696 | INFO | data.fetcher | Batch downloading 100 tickers...
2026-07-04 02:57:24,846 | INFO | data.fetcher | Prices saved: AAPL
2026-07-04 02:57:24,857 | INFO | data.fetcher | Prices saved: MSFT
2026-07-04 02:57:24,868 | INFO | data.fetcher | Prices saved: GOOGL
2026-07-04 02:57:24,879 | INFO | data.fetcher | Prices saved: AMZN
2026-07-04 02:57:24,890 | INFO | data.fetcher | Prices saved: META
2026-07-04 02:57:24,901 | INFO | data.fetcher | Prices saved: TSLA
2026-07-04 02:57:24,913 | INFO | data.fetcher | Prices saved: NVDA
2026-07-04 02:57:24,924 | INFO | data.fetcher | Prices saved: JPM
2026-07-04 02:57:24,936 | INFO | data.fetcher | Prices saved: JNJ
2026-07-04 02:57:24,950 | INFO | data.fetcher | Prices saved: V
2026-07-04 02:57:24,962 | INFO | data.fetcher | Prices saved: UNH
2026-07-04 02:57:24,973 | INFO | data.fetcher | Prices saved: XOM
2026-07-04 02:57:24,985 | INFO | data.fetcher | Prices saved: WMT
